Model,Precision,Recall,F1_Score,ROC_AUC,PR_AUC
LightGBM_ClassWeight,0.6140724946695096,0.7539267015706806,0.6768507638072856,0.9292736015297416,0.737486325672303
RandomForest_SMOTE,0.6350710900473934,0.7015706806282722,0.6666666666666666,0.9239915935402994,0.710041713489941
LightGBM_SMOTE,0.6522842639593909,0.6727748691099477,0.6623711340206185,0.9301267071648159,0.7399422988773976
XGBoost_ClassWeight,0.6388206388206388,0.680628272251309,0.6590621039290241,0.9224703701537624,0.7275764850631856
XGBoost_SMOTE,0.6302083333333334,0.6335078534031413,0.6318537859007833,0.9165672860052534,0.7031637078916307
RandomForest_ClassWeight,0.7235494880546075,0.5549738219895288,0.6281481481481481,0.9239763368076305,0.7297587629056767
